N(059L,Champion 7GCBC Citabria,274-70,,,,,,,,
N(658Q,Cessna 172M Skyhawk,65742,,,,,,,,
N(835R,Beech M.35 Bonanza,D-6359,,,,,,,,
N0520M,Mooney M.20F Executive,670097,,,,,,,,
N1,Grumman G.1159C Gulfstream 4,1071,,,,,,,,
N1 (C),Lockheed 1329 JetStar,5001  To N11,,,,,,,,
N1 (C),Grumman G.1159A Gulfstream 3,413  Ex N778W,,,,,,,,
N10,,,,,,,,,,
N100,Piper J3C.65 Cub,5334,,,,,,,,
N10000,Texas Helicopter Corporation OH.13H/M.74A,79-029,,,,,,,,
N10001,Waco ASO,A-28,,,,,,,,
N10002,Texas Helicopter Corporation OH.13H/M.74A,79-030,,,,,,,,
N10003,Texas Helicopter Corporation OH.13H/M.74A,79-031,,,,,,,,
N10004,Douglas C.47B,14363/25808  Ex 43-48547,,,,,,,,
N10005,Douglas C.47B,13782/25227  Ex 43-48266,,,,,,,,
N10006,Beech T.34B Mentor,BG-72  Ex Bu140738,,,,,,,,
N10007,Cessna 210G Centurion,58839,,,,,,,,
N10008,Cessna 150L,74750,,,,,,,,
N10009,Texas Helicopter Corporation OH.13H/M.74A,79-032,,,,,,,,
N1000A,Douglas DC.3,2184,,,,,,,,
N1000B,Lockheed 18,2622,,,,,,,,
N1000D,Cessna 195,7608,,,,,,,,
N1000E,NA.265 Sabreliner 40,282-19,,,,,,,,
N1000F,Cessna T.210L Turbo Centurion,60523,,,,,,,,
N1000G,Lockheed 18-56 Lodestar,2562,,,,,,,,
N1000H,Aeronca 15AC Sedan,15AC-2,,,,,,,,
N1000J,Beech A.23A Musketeer,M-1000,,,,,,,,
N1000K,Cessna 320D Skynight,0080,,,,,,,,
N1000L,Beech 95.B55 Baron,TC-1000,,,,,,,,
N1000M,Stinson 108-3 Voyager,108-3741,,,,,,,,
N1000N,Cessna 310H,0104,,,,,,,,
N1000P,PA.28 Cherokee 180B,28-1000,,,,,,,,
N1000Q,Cessna310P,0195,,,,,,,,
N1000R,Howard DGA.15P,1732,,,,,,,,
N1000S,American Aviation AA.5 Traveler,AA5-0107,,,,,,,,
N1000T,Beech H.35 Bonanza,D-4980,,,,,,,,
N1000U,Beech 77 Skipper,WA-306,,,,,,,,
N1000V,Beech B.50 Twin Bonanza,CH-86,,,,,,,,
N1000W,Beech 200 Super King Air,BB-390,,,,,,,,
N1000X,Lockheed B.34,4688,,,,,,,,
N1000Y,Cessna 180 Skywagon,30999,,,,,,,,
N1000Z,Schleicher Ka.8B,880,,,,,,,,
N1001,Howard DGA.15P,980,,,,,,,,
N10011,Cessna 150L,74752,,,,,,,,
N10013,Cessna 150L,74753,,,,,,,,
N10014,Cessna 305A Bird Dog,22328,,,,,,,,
N10015,Cessna 305A Bird Dog,22852,,,,,,,,
N10017,DHC.2 L.20A Beaver ,501  Ex 52-6119,,,,,,,,
N1001A,Learjet 23,23-071,,,,,,,,
N1001B,Lockheed 12A,1205,,,,,,,,
N1001C,Bellanca 14-18-3A Bellanca 260A,4295,,,,,,,,
N1001D,Cessna 195A,7609,,,,,,,,
N1001E,Aeronca 7AC Champion,7AC-4551,,,,,,,,
N1001F,Texas Helicopter OH.13H/M.74A,79-033,,,,,,,,
N1001G,Texas Helicopter OH.13H/M.74A,79-035,,,,,,,,
N1001H,Beech D.45 Mentor,BG-364,,,,,,,,
N1001J,Erco 415C Ercoupe,3832,,,,,,,,
N1001K,Texas Helicopter OH.13H/M.74A,79-034,,,,,,,,
N1001L,Gates Learjet 35A,35A-357,,,,,,,,
N1001M,Cessna 172L Skyhawk,59401,,,,,,,,
N1001N,Texas Helicopter M.74L,81-037,,,,,,,,
N1001P,Piccard S.10,PD113,,,,,,,,
N1001Q,Cessna 310H,0001,,,,,,,,
N1001R,Bellanca 14-19-3 Bellanca 260,4216,,,,,,,,
N1001S,Lockheed 18-56 Lodestar,2505,,,,,,,,
N1001T,Texas Helicopter OH.13E/M.74,79-038,,,,,,,,
N1001U,SE.210 Caravelle VIR,86,,,,,,,,
N1001V,Cessna R.172K Hawk XP,2074,,,,,,,,
N1001W,Beech 65.A80 Queen Air,LD-200,,,,,,,,
N1001X,Texas Helicopter M.79S,101-79,,,,,,,,
N1001Z,Texas Helicopter M.74L,81-036,,,,,,,,
